Gene ID,Gene Name,4-cell embryo Ce,gastrulating embryo Ce,enclosing embryo Ce,3-fold embryo Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,newly molted young adult hermaphrodite Ce,adult Ce,L2d-dauer molt Ce,dauer larva Ce,post dauer stage Ce
WBGene00000001,aap-1,19,20,10,22,19,35,16,13,6,30,34,24,32,27
WBGene00000002,aat-1,0.2,3,2,75,30,18,16,13,5,3,3,9,4,5
WBGene00000003,aat-2,3,7,3,47,39,25,12,19,4,4,2,7,3,8
WBGene00000004,aat-3,5,43,40,210,123,85,24,12,3,4,8,25,16,16
WBGene00000005,aat-4,0.1,2,1,4,3,0.3,8,9,7,10,2,0.1,0.1,1
WBGene00000006,aat-5,0.1,0.6,0.3,11,20,26,14,12,3,3,2,18,14,17
WBGene00000007,aat-6,0.2,0.3,0.1,2,4,1,6,15,4,6,2,1,0.6,3
WBGene00000008,aat-7,,,,,,0.1,0.9,2,0.7,1,0.2,2,4,3
WBGene00000009,aat-8,,0.2,0.1,4,4,2,0.5,0.5,1,0.3,0.3,2,1,1
WBGene00000010,aat-9,14,14,4,17,18,16,9,10,4,15,26,11,12,10
WBGene00000012,abf-1,,1,,,0.8,0.9,0.2,0.8,1,3,3,0.8,0.4,0.8
WBGene00000013,abf-2,,0.2,0.1,,0.6,12,5,1,2,2,6,28,57,28
WBGene00000014,abf-3,,,0.5,,,0.4,,,0.1,,,0.2,0.1,
WBGene00000015,abf-4,,,0.1,,,0.1,0.1,,0.4,0.6,0.2,0.2,2,0.4
WBGene00000016,abf-5,0.6,,0.2,,0.9,35,15,17,2,5,5,25,22,32
WBGene00000017,abf-6,,,0.3,0.4,3,135,16,20,2,4,5,21,26,23
WBGene00000018,abl-1,6,9,3,48,43,12,16,11,3,4,8,15,11,11
WBGene00000019,abt-1,,0.2,,,0.2,0.1,0.2,1,1,2,0.4,,,
WBGene00000020,abt-2,0.8,1,0.4,2,6,34,8,7,2,2,3,7,6,5
WBGene00000022,abt-4,1,0.4,0.3,1,3,10,7,15,3,5,7,5,2,5
WBGene00000023,abt-5,0.3,0.7,0.4,0.2,0.5,0.3,0.4,2,3,1,0.5,,,0.1
WBGene00000024,abu-1,,,,,1,0.1,6,4,8,2,0.6,0.1,,0.3
WBGene00000025,abu-2,,,0.1,,0.3,0.3,0.2,,0.4,,0.1,2,1,0.2
WBGene00000026,abu-3,,,0.2,,,0.2,,,0.1,0.1,0.1,,,
WBGene00000027,abu-4,,,0.1,0.1,0.4,,0.3,0.2,0.7,0.2,,,,
WBGene00000028,abu-5,,,,,,,,,,,,,,
WBGene00000029,abu-6,,,,,,,1,5,3,1,0.4,,0.1,
WBGene00000030,abu-7,,,,,0.2,,2,3,3,0.9,0.3,0.7,1,0.8
WBGene00000031,abu-8,,,0.1,1,57,5,20,15,11,3,2,26,0.8,0.6
WBGene00000033,abu-10,0.6,,0.1,0.3,14,3,13,12,9,3,2,3,0.2,0.2
WBGene00000034,abu-11,,,0.2,4,41,2,18,16,25,4,3,18,1,0.4
WBGene00000035,ace-1,0.2,0.5,0.1,27,19,9,8,4,2,2,2,8,4,6
WBGene00000036,ace-2,0.1,3,2,21,20,36,13,5,3,3,3,18,10,12
WBGene00000037,ace-3,0.1,1,1,64,55,33,9,2,0.9,0.9,0.9,9,7,5
WBGene00000038,ace-4,,0.3,0.4,4,4,15,3,1,0.4,0.3,0.1,2,2,1
WBGene00000039,acn-1,0.5,8,6,342,175,1,214,89,33,3,2,33,5,4
WBGene00000040,aco-1,14,119,122,58,54,154,169,207,59,96,80,14,14,14
WBGene00000041,aco-2,103,39,11,143,187,204,299,194,105,164,188,242,260,259
WBGene00000042,acr-2,,0.2,0.1,3,5,3,3,1,0.9,0.7,0.2,4,3,3
WBGene00000043,acr-3,,0.1,0.2,1,5,3,2,1,1,0.7,0.2,0.8,1,1
WBGene00000044,acr-5,0.2,3,3,0.5,3,7,3,0.7,2,0.6,0.2,8,4,3
WBGene00000045,acr-6,,,0.1,0.2,1,0.7,0.5,0.3,0.2,0.2,0.1,0.5,0.9,0.4
WBGene00000046,acr-7,,0.9,3,6,8,2,1,1,0.9,0.7,,0.8,0.8,0.9
WBGene00000047,acr-8,0.2,0.5,0.2,37,31,6,10,4,2,1,0.2,4,2,3
WBGene00000048,acr-9,0.2,0.3,0.1,5,7,2,2,0.4,0.5,0.5,0.1,0.9,0.6,0.4
WBGene00000049,acr-10,,0.3,0.1,1,4,2,0.6,0.4,0.3,0.3,0.1,0.2,0.4,0.2
WBGene00000050,acr-11,0.3,0.6,0.1,4,7,2,1,1,1,1,0.3,1,1,2
WBGene00000051,acr-12,0.2,0.7,0.5,9,10,5,4,2,0.9,0.9,0.5,4,3,4
WBGene00000053,acr-14,0.1,0.4,0.4,3,4,3,0.9,0.6,0.7,0.4,,2,2,1
WBGene00000054,acr-15,0.7,0.2,,5,7,5,3,4,2,2,0.6,6,5,5
WBGene00000055,acr-16,0.8,3,0.9,4,7,6,5,4,2,2,0.8,5,2,4
WBGene00000056,acr-17,0.4,2,0.8,0.4,1,3,1,0.8,0.6,0.8,0.8,3,2,2
WBGene00000057,acr-18,0.4,0.2,0.1,0.3,1,4,2,1,1,3,0.6,6,4,2
WBGene00000058,acr-19,,0.6,0.1,4,5,12,3,1,0.6,0.6,0.2,4,4,3
WBGene00000059,acr-20,0.5,0.7,0.5,1,4,5,2,1,1,0.7,0.4,4,3,4
WBGene00000060,acr-21,,0.6,,0.4,2,2,3,1,1,0.5,0.2,9,8,5
WBGene00000061,lgc-11,0.2,0.1,0.1,1,4,7,0.8,1,0.3,0.4,,2,1,1
WBGene00000062,acr-23,,0.1,0.1,1,2,4,3,0.9,0.7,0.1,,5,4,3
WBGene00000063,act-1,23,124,59,306,333,42,309,401,260,170,127,445,94,60
WBGene00000064,act-2,398,684,375,499,309,94,209,374,284,515,1020,160,155,162
WBGene00000065,act-3,29,145,44,416,435,82,454,769,203,147,123,467,117,53
WBGene00000066,act-4,23,272,432,2142,1941,886,1363,1835,1134,519,927,2340,367,374
WBGene00000067,act-5,6,18,16,355,443,110,956,1292,607,735,357,149,43,347
