"","dnames","V2","meanBeta","2.5%","97.5%"
"beta[1]","Intercept",NA,"0.532280250675239","0.522751624079531","0.541486919417035"
"beta[2]","X4.cell.embryo.Ce","20","0.00324936818708249","0.00214666061418231","0.00451422859274511"
"beta[3]","gastrulating.embryo.Ce","190","0.000804842456951682","0.000193301971569624","0.00163968810413274"
"beta[4]","enclosing.embryo.Ce","60","0.000211850063116486","8.76502352764751e-06","0.000612108993035747"
"beta[5]","X3.fold.embryo.Ce","100","0.00124616317750491","5.36366897038942e-05","0.00343549120023898"
"beta[6]","fully.elongated.embryo.Ce","180","0.00333464955949647","5.28278654428873e-05","0.0080248579821854"
"beta[7]","L1.larva.Ce","690","0.00373143252785687","0.00198932089640514","0.00553590203170505"
"beta[8]","L2.larva.Ce","420","0.00476053270869903","0.00157476309943876","0.00814498221729146"
"beta[9]","L3.larva.Ce","450","0.000517229361777651","6.56168225953001e-06","0.00228350353119424"
"beta[10]","L4.larva.Ce","570","0.0160398224170396","0.0116147444099005","0.0219889889359644"
"beta[11]","newly.molted.young.adult.hermaphrodite.Ce","1440","0.000105408506852042","2.45865164663969e-06","0.000450657806030912"
"beta[12]","adult.Ce",NA,"0.014860926617921","0.0111479689385666","0.0200294237592719"
"beta[13]","L2d.dauer.molt.Ce",NA,"0.00654137425770121","0.00383664862668552","0.0105124987212854"
"beta[14]","dauer.larva.Ce",NA,"3.74915947031314e-05","7.10971619092673e-07","0.000147051390145818"
"beta[15]","post.dauer.stage.Ce",NA,"2.69542482380996e-05","8.1550005423471e-07","0.000119566067891932"
