ORF_Info,Phi_Post_Arith_Mean,Phi_Post_Median,Phi_Post_Geom_Mean,Phi_Post_Harm_Mean,Phi_Post_SD,logPhi_Post_SD
WBGene00000001,0.610781497,0.607462506,0.603975885,0.596936657,0.090153538,0.151397284
WBGene00000003,0.886425464,0.884878118,0.881319235,0.876191627,0.095051413,0.107827861
WBGene00000006,1.14543176,1.142782716,1.141381463,1.13729126,0.096023249,0.08448839
WBGene00000012,0.85630995,0.843919787,0.826928557,0.793520595,0.217583471,0.273545763
WBGene00000013,1.255345528,1.25347304,1.231711763,1.207210191,0.240327024,0.197794795
WBGene00000016,0.790003276,0.782062188,0.766963894,0.742696531,0.187961804,0.248244546
WBGene00000017,0.644474676,0.631759865,0.625317027,0.605483721,0.155319528,0.249886774
WBGene00000024,1.530073,1.52941651,1.5237216,1.517272855,0.13852824,0.091703456
WBGene00000031,2.685165884,2.681976615,2.680541562,2.675881225,0.157195901,0.058878079
WBGene00000033,2.305018197,2.303035898,2.299346196,2.293648379,0.161535792,0.070352959
WBGene00000034,2.358960728,2.364952363,2.353650032,2.348312065,0.15808044,0.067294632
WBGene00000035,0.440924214,0.437284646,0.432382301,0.423382828,0.085192873,0.201370528
WBGene00000036,0.547427532,0.54488728,0.540787854,0.533912407,0.084236169,0.158089393
WBGene00000037,0.686320111,0.686885269,0.680790384,0.675173513,0.086682822,0.128016643
WBGene00000038,0.839999943,0.835678713,0.835214234,0.830377889,0.089379005,0.107383684
WBGene00000039,1.635432102,1.636774977,1.633273122,1.631112807,0.084086108,0.051450295
WBGene00000040,1.727700269,1.729096847,1.725600192,1.72348714,0.084995444,0.049436234
WBGene00000042,0.625120588,0.623301637,0.618670399,0.612065977,0.089018655,0.145329675
WBGene00000043,0.434418297,0.434339339,0.425567488,0.416124735,0.085719018,0.207207759
WBGene00000046,0.286950395,0.285886238,0.277654352,0.267456016,0.071056738,0.264183224
WBGene00000054,0.459179839,0.455973649,0.450249932,0.440973181,0.08942332,0.201120298
WBGene00000055,0.478247404,0.473654703,0.47040521,0.462288475,0.085601653,0.184235084
WBGene00000056,0.802466801,0.801596593,0.79676571,0.790976374,0.095097612,0.120155135
WBGene00000057,0.699232854,0.696197252,0.693012799,0.686708588,0.09297058,0.134479745
WBGene00000058,0.324530443,0.322592745,0.315122823,0.304954101,0.076192234,0.248916624
WBGene00000061,0.302075214,0.296962732,0.293219356,0.284046537,0.072558836,0.247963649
WBGene00000062,0.685142705,0.684620668,0.678830183,0.672328222,0.091962945,0.137436884
WBGene00000063,3.577804,3.575484666,3.572129622,3.566442538,0.201439929,0.056425759
WBGene00000064,2.954886324,2.951039576,2.950631601,2.94637903,0.158761676,0.053721536
WBGene00000065,3.569341075,3.572590119,3.564280476,3.559211787,0.190099784,0.05333508
WBGene00000067,3.073295053,3.073274583,3.068391598,3.063473665,0.173494568,0.056604854
WBGene00000080,0.727780401,0.726853338,0.721397394,0.714856996,0.095596949,0.133872872
WBGene00000081,1.747404967,1.74807473,1.744376909,1.741336499,0.102737802,0.05901336
WBGene00000082,0.538796584,0.539440942,0.535561949,0.532239931,0.058384387,0.110691518
WBGene00000085,0.521146205,0.520101893,0.511059279,0.500598536,0.101457674,0.200499538
WBGene00000088,0.637378368,0.635946592,0.630900242,0.624266526,0.0901349,0.144207863
WBGene00000089,0.976448889,0.972951613,0.963770951,0.950431989,0.154395896,0.164256391
WBGene00000094,0.407049629,0.396239887,0.392274698,0.376818738,0.108029586,0.277759168
